Macrepo	Title	Date	Scale	Surveyor/Author	Citation	Thumbnail Link	Archive Link
65206	"Sketch of survey of part of lot no 8 in the 1st concession of the ""Township of Barton""."	1862	[1:4750]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Sketch of survey of part of lot no 8 in the 1st concession of the ""Township of Barton"".. [1:4750]. Canada: Smith, Sheldon D., 1862."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65206/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65206
65207	Plan of the survey of part of lot no 46 in the 2nd Concession of the Township of Ancaster	1842	[1:2380]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Plan of the survey of part of lot no 46 in the 2nd Concession of the Township of Ancaster. [1:2380]. Canada: [Publisher unknown], 1842."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65207/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65207
65208	Barton	1846	[1:31680]	Ontario. Department of Crown Lands	"Ontario. Department of Crown Lands. Barton. [1:31680]. Canada: Crown Lands Department, 1846."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65208/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65208
65210	"Plan of the survey of the 3rd, 4th, & 5th Concessions of the Township of Beverly"	1861	[1:31680]	"Mackintosh, James"	"Mackintosh, James. Plan of the survey of the 3rd, 4th, & 5th Concessions of the Township of Beverly. [1:31680]. Canada: [Publisher unknown], 1861."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65210/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65210
65211	Plan of Enright's farm being composed of the rear part of lots 5&6 in the Second Concession of the Township of West Flamborough	1871	[1: 3960]	"Mackintosh, James"	"Mackintosh, James. Plan of Enright's farm being composed of the rear part of lots 5&6 in the Second Concession of the Township of West Flamborough. [1: 3960]. Canada: [Publisher unknown], 1871."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65211/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65211
65212	"Plan of Park and other lots in John Hill's Survey, Barton 1846"	1848	[1:1580]	"Sparks, Robert"	"Sparks, Robert. Plan of Park and other lots in John Hill's Survey, Barton 1846. [1:1580]. Canada: [Publisher unknown], 1848."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65212/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65212
65213	Sketch of survey of lots in the Village of Ancaster the property of Mr MacCrimmon	1869	[1:2380]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Sketch of survey of lots in the Village of Ancaster the property of Mr MacCrimmon. [1:2380]. Canada: [Publisher unknown], 1869."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65213/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65213
65215	A sketch of lot 16 in the 5th Con of Barton	1852	[1:3170]	"Kerr, Robert Warren, 1810-1873"	"Kerr, Robert Warren, 1810-1873. A sketch of lot 16 in the 5th Con of Barton. [1:3170]. Canada: [Publisher unknown], 1852."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65215/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65215
65227	Plan of the survey of the north end of lot no 19 in fourth conn of Barton into acre lots the property of W.H. Nicolls Esqr.	1854	[1:1580]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Plan of the survey of the north end of lot no 19 in fourth conn of Barton into acre lots the property of W.H. Nicolls Esqr.. [1:1580]. Canada: [Publisher unknown], 1854."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65227/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65227
65228	Plan showing resubdivision of lots nos. 104 to 112 Allen & Matheson Survey	1906	[1:600]	"Wilson, R.T."	"Wilson, R.T.. Plan showing resubdivision of lots nos. 104 to 112 Allen & Matheson Survey. [1:600]. Canada: [Publisher unknown], 1906."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65228/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65228
65229	Hatt's Survey Dundas	[between 1820 and 1900]	Scale not given.	[Author unknown]	"[Author unknown]. Hatt's Survey Dundas. Scale not given. [Canada?]: [Publisher unknown], [between 1820 and 1900]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65229/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65229
65230	Plan of lots in this Town of Hamilton - now the City of Hamilton	1838	Scale not given.	[Author unknown]	"[Author unknown]. Plan of lots in this Town of Hamilton - now the City of Hamilton. No scale given. Canada: [Publisher unknown], 1838."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65230/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65230
65231	"Plan of survey of the block lying between Bold, Duke, MacNab, and Bond Streets"	1866	[1:600]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Plan of survey of the block lying between Bold, Duke, MacNab, and Bond Streets. [1:600]. Canada: [Publisher unknown], 1866."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65231/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65231
65232	Plan of the road along the centre of the 8th Concession of the Township of East Flamborough[...]	1858	[1:3170]	"MacKintosh, James"	"MacKintosh, James. Plan of the road along the centre of the 8th Concession of the Township of East Flamborough[...]. [1:3170]. Canada: [Publisher unknown], 1858."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65232/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65232
65235	"Plan of survey of lots in the City of Hamilton property of Mess. Kerr, McLaren, & Street"	[between 1830 and 1910]	Scale not given.	[Author unknown]	"[Author unknown]. Plan of survey of lots in the City of Hamilton property of Mess. Kerr, McLaren, & Street. Scale not given. Canada: [Publisher unknown], [between 1830 and 1910]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65235/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65235
65257	Plan of park-lots laid out in the north part of lot no.5 in the B.F. Con of the Township of Saltfleet	1893	[1:1200]	"Carroll, Cyrus, 1834-1923"	"Carroll, Cyrus, 1834-1923. Plan of park-lots laid out in the north part of lot no.5 in the B.F. Con of the Township of Saltfleet. [1:1200]. Canada: Springer, Lewis, 1893."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65257/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65257
70037	"[Plan of the Village of Inverness in Burlington, Ontario]"	[between 1830-1890?]	Scale not given.	[Author unknown]	"[Author unknown]. [Plan of the Village of Inverness in Burlington, Ontario]. Scale not given. Canada: [Tho. Allen Blyth, P.L.S.?], [between 1830-1890?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70037/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70037
70040	Ancaster	[1846]	[1:31680]	Ontario. Department of Crown Lands	"Ontario. Department of Crown Lands. Ancaster. [1:31680]. [Canada]: Crown Lands Department, [1846]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70040/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70040
70042	Beverly	1846	[1:31680]	Ontario. Department of Crown Lands	"Ontario. Department of Crown Lands. Beverly. [1:31680]. Canada: Crown Lands Department, 1846."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70042/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70042
70076	"Plan of the Village of Inverness, being the subdivision of lot no.1 first concession, Flamboro East [south sheet]"	[1848-1875]	Scale not given.	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Plan of the Village of Inverness, being the subdivision of lot no.1 first concession, Flamboro East [south sheet]. Scale not given.. Canada: Ths. Allen Blyth, P.L.S., [1848-1875]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70076/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70076
70078	"Plan of the Village of Inverness, being the subdivision of lot no.1 first concession, Flamboro East [north sheet]"	[1848-1875]	Scale not given.	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Plan of the Village of Inverness, being the subdivision of lot no.1 first concession, Flamboro East [north sheet]. Scale not given. Canada: Ths. Allen Blyth, P.L.S., [1848-1875]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70078/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70078
70127	"Tracing of plan showing the position of lots comprising the Village of Freelton, Township of West Flamborough"	[between 1848-1870]	Scale not given.	[Author unknown]	"[Author unknown]. Tracing of plan showing the position of lots comprising the Village of Freelton, Township of West Flamborough. Scale not given. Canada: [Publisher unknown], [between 1848-1870]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70127/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70127
70139	"[Plan of the Village of Inverness in Burlington, Ontario]"	[between 1830-1890?]	Scale not given.	[Author unknown]	"[Author unknown]. [Plan of the Village of Inverness in Burlington, Ontario]. Scale not given. Canada: [Tho. Allen Blyth, P.L.S.?], [between 1830-1890?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70139/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70139
70140	Plan of Lawrence Park	1913	[1:1200]	"Webster, William Gourlay, 1884-1965"	"Webster, William Gourlay, 1884-1965. Plan of Lawrence Park. [1:1200]. Canada: MacKay, MacKay, & Webster. Engineers & Surveyors. Hamilton, Can., 1913."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70140/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70140
70161	[Map of Dundas]	[between 1810 and 1875]	Scale not given.	[Author unknown]	"[Author unknown]. [Map of Dundas]. Scale not given. [Hamilton, Ont.?]: [Publisher unknown], [between 1810 and 1875]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70161/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70161
70205	[Map of Dundas]	[between 1810 and 1875]	Scale not given.	[Author unknown]	"[Author unknown]. [Map of Dundas]. Scale not given. : [Publisher unknown], [between 1810 and 1875]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70205/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70205
70211	[Map of Michael Aikman's Survey]	1872	Scale not given.	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. [Map of Michael Aikman's Survey]. Scale not given. Canada: Hamilton Registry Office, 1872."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70211/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70211
70385	Plan of village lots in Waterdown	1856	[1:792]	"Mackintosh, James"	"Mackintosh, James. Plan of village lots in Waterdown. [1:792]. Canada: Hamilton Registry Office, 1856."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70385/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70385
70426	"Plan showing lots numbers 1, 2 and 3 in the subdivision of part of lot no.1 in the Broken Front Concession"	1897	[1:2380]	"Hewson, Thomas Ringwood, 1856-1898"	"Hewson, Thomas Ringwood, 1856-1898. Plan showing lots numbers 1, 2 and 3 in the subdivision of part of lot no.1 in the Broken Front Concession. [1:2380]. Canada: Registry Office Hamilton, 1897."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70426/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70426
70453	"[Map of Hamilton, Main and Emerald Streets]"	[between 1810 and 1860?]	Scale not given.	[Author unknown]	"[Author unknown]. [Map of Hamilton, Main and Emerald Streets]. Scale not given. [Hamilton, Ont.?]: [Publisher unknown], [between 1810 and 1860?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70453/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70453
70460	Part of Hamilton	[between 1820 and 1900]	[1:768]	[Author unknown]	"[Author unknown]. Part of Hamilton. [1:768]. [Place of publication unknown]: [Publisher unknown], [between 1820 and 1900]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70460/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70460
70477	Plan of Ontario	1869	[1:3170]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Plan of Ontario. [1:3170]. Canada: Ths. Allen Blyth, P.L.S., 1869."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70477/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70477
70491	Plan No. 1 Ancaster	[1846?]	Scale not given.	[Author unknown]	"[Author unknown]. Plan No. 1 Ancaster. Scale not given. Canada: [Publisher unknown], [1846?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70491/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70491
70496	Plan of survey of park-lots laid out on lot no. 5 in the 1st and B.F. Cons. in the Township of Saltfleet	1893	[1:1200]	"Carroll, Cyrus, 1834-1923"	"Carroll, Cyrus, 1834-1923. Plan of survey of park-lots laid out on lot no. 5 in the 1st and B.F. Cons. in the Township of Saltfleet. [1:1200]. Canada: Springer, Lewis, 1893."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70496/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70496
70518	Plan of Goodwin Park	1913	[1:1800]	"Bandy, Oliver R."	"Bandy, Oliver R.. Plan of Goodwin Park. [1:1800]. Canada: J.W. Tyrrell & Co., Engineers & Surveyors, 1913."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70518/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70518
70586	Grand Trunk Railway	1888	Scale not given.	"Hobson, Joseph, 1834-1917"	"Hobson, Joseph, 1834-1917. Grand Trunk Railway. Scale not given.. Canada: J.W. Tyrrell & Co., Engineers & Surveyors, 1888."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70586/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70586
70640	Binbrook Township	[between 1850 and 1880?]	Scale not given.	[Author unknown]	"[Author unknown]. Binbrook Township. Scale not given. Canada: [Publisher unknown], [between 1850 and 1880?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70640/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70640
70641	Plan of survey of park lots in the Township of Saltfleet	[between 1858 and 1869]	Scale not given.	[Author unknown]	"[Author unknown]. Plan of survey of park lots in the Township of Saltfleet. Scale not given. Canada: [Publisher unknown], [between 1858 and 1869]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70641/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70641
70742	Plan of lots I to IX both inclusive in the Vth and VIth Concessions of Saltfleet	1860	[1:19800]	"Dennis, John Stoughton, 1820-1885"	"Dennis, John Stoughton, 1820-1885. Plan of lots I to IX both inclusive in the Vth and VIth Concessions of Saltfleet. [1:19800]. Canada: J. Stoughton Dennis, P.L.S., 1860."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70742/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70742
70834	"[Map of planned village at present-day Winona, Ontario]"	[between 1820 and 1869]	Scale not given.	[Author unknown]	"[Author unknown]. [Map of planned village at present-day Winona, Ontario]. Scale not given. [Hamilton, Ont.?]: [Publisher unknown], [between 1820 and 1869]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70834/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70834
70877	"Sketch of survey of lot 23 in the 4th Con. and lot 23 in the 5th Con., Saltfleet"	1856-10-24	Scale not given.	[Author unknown]	"[Author unknown]. Sketch of survey of lot 23 in the 4th Con. and lot 23 in the 5th Con., Saltfleet. Scale not given. Canada: Ths. Allen Blyth, P.L.S., 1856-10-24."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70877/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70877
70903	Sketch of Beach	[between 1881 and 1899]	[1:480]	[Author unknown]	"[Author unknown]. Sketch of Beach. [1:480]. Canada: [Publisher unknown], [between 1881 and 1899]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70903/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70903
71106	[Sketch of survey of industrial property at Stuart and Hess streets]	[between 1870 and 1881]	Scale not given.	[Author unknown]	"[Author unknown]. [Sketch of survey of industrial property at Stuart and Hess streets]. Scale not given. [Canada]: [Publisher unknown], [between 1870 and 1881]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71106/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71106
71172	Plan of Wilson Park	5/1/1913	[1:1200]	"Phillips, E.P.A. (Edwin Percy Argall)"	"Phillips, E.P.A. (Edwin Percy Argall). Plan of Wilson Park. [1:1200]. Canada: J.J. MacKay & Co., Engineers & Surveyors, 4870."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71172/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71172
71279	Sketch of part of lot no. 19 containing 41 1/2 acres	[between 1820 and 1876]	Scale not given.	[Author unknown]	"[Author unknown]. Sketch of part of lot no. 19 containing 41 1/2 acres. Scale not given. Canada: [Publisher unknown], [between 1820 and 1876]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71279/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71279
71300	[Survey of J. Hopkins' property in Flamborough East & West]	[between 1820 and 1851]	Scale not given.	[Author unknown]	"[Author unknown]. [Survey of J. Hopkins' property in Flamborough East & West]. Scale not given. Canada: [Publisher unknown], [between 1820 and 1851]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71300/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71300
71311	Plan of Kenview Park	5/31/1913	[1:2400]	"Webster, William Gourlay, 1884-1965"	"Webster, William Gourlay, 1884-1965. Plan of Kenview Park. [1:2400]. Canada: J.J. MacKay & Co., Engineers & Surveyors, 4900."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71311/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71311
71322	Plan of survey of part of Abbotsford	1854-06	[1:1580]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Plan of survey of part of Abbotsford. [1:1580]. Canada: [Publisher unknown], 1854-06."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71322/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71322
71334	[Part of the Blakie Estate]	[1820-1882]	Scale not given.	[Author unknown]	"[Author unknown]. [Part of the Blakie Estate]. Scale not given. Canada: [Publisher unknown], [1820-1882]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71334/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71334
71335	Plan of subdivision of park lots nos. 13 [to] 22 in the survey of the Hon. John H. Cameron	1856	Scale not given.	[Author unknown]	"[Author unknown]. Plan of subdivision of park lots nos. 13 [to] 22 in the survey of the Hon. John H. Cameron. Scale not given. [Hamilton, Ont.]: [Publisher unknown], 1856."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71335/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71335
71338	Sketch of the survey of part of lot no. 19 in the 2nd concession of the Township of Barton	1845-08-04	[1:2380]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Sketch of the survey of part of lot no. 19 in the 2nd concession of the Township of Barton. [1:2380]. Canada: [Publisher unknown], 1845-08-04."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71338/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71338
